signal,horizon_seconds,date,rows,weighted_roc_auc,unweighted_roc_auc,spearman_information_coefficient,weighted_direction_accuracy
trade_imbalance_300s_mean,120,2023-06-25,5322,0.5045945880024556,0.5160695197287167,0.03748051222809732,0.5128727207864303
signed_pressure_to_opposing_depth_10s,120,2023-06-21,6494,0.49074552737576194,0.4884925563039039,-0.02845597608289564,0.4960051763889001
signed_pressure_to_opposing_depth_10s,120,2023-06-22,6223,0.4915880990468233,0.492255834689701,-0.025213758256235248,0.49096004064035453
signed_pressure_to_opposing_depth_10s,120,2023-06-23,5854,0.4856568274096806,0.48611083866930077,-0.024852442858992938,0.4802846511304438
signed_pressure_to_opposing_depth_10s,120,2023-06-24,4816,0.48445863666626765,0.4826122981810036,-0.027787558073632233,0.4868543951836403
signed_pressure_to_opposing_depth_10s,120,2023-06-25,5322,0.4973538391561708,0.5055939886709176,0.016014521095768886,0.49915638111774285
signed_pressure_to_opposing_depth_60s,120,2023-06-21,6494,0.46983337085311844,0.46842810014323594,-0.06176490077352476,0.4705825545726971
signed_pressure_to_opposing_depth_60s,120,2023-06-22,6223,0.4991096014741984,0.50687152797949,0.00459719924601076,0.49524348404444746
signed_pressure_to_opposing_depth_60s,120,2023-06-23,5854,0.47341149451495873,0.4700633543969773,-0.057651994766189915,0.4708974429342296
signed_pressure_to_opposing_depth_60s,120,2023-06-24,4816,0.4782676948391196,0.4775715154311032,-0.04845049975777529,0.4756461991229829
signed_pressure_to_opposing_depth_60s,120,2023-06-25,5322,0.4677369667090884,0.4789319859567289,-0.013450399807191473,0.4647990995672275
signed_pressure_to_opposing_depth_300s,120,2023-06-21,6494,0.4470231066426937,0.4455158302349678,-0.11353532766434174,0.46279763939275903
signed_pressure_to_opposing_depth_300s,120,2023-06-22,6223,0.4731686697654144,0.4859321600451183,-0.02002243251518776,0.4733813637133585
signed_pressure_to_opposing_depth_300s,120,2023-06-23,5854,0.4621356286779431,0.45807645962645893,-0.08948540367433146,0.45957903336440453
signed_pressure_to_opposing_depth_300s,120,2023-06-24,4816,0.4518660636752994,0.4536799396780147,-0.09906540442675824,0.4591436981130177
signed_pressure_to_opposing_depth_300s,120,2023-06-25,5322,0.44213057599838856,0.45026774646630036,-0.07718322063533863,0.44577541648011976
l1_imbalance,300,2023-06-21,6492,0.5068008008726677,0.5047573204299403,0.01001056778146995,0.4999434672526306
l1_imbalance,300,2023-06-22,6212,0.5110812958143891,0.5137805564323211,0.022455971353359087,0.5075677666902915
l1_imbalance,300,2023-06-23,5847,0.4981005579738344,0.5079188062255957,0.02873667930661529,0.49874652088571936
l1_imbalance,300,2023-06-24,4814,0.520991162228879,0.5246162603201406,0.035555418761441936,0.5088092830346205
l1_imbalance,300,2023-06-25,5311,0.5072731190991204,0.5092843637376109,0.02522616684367102,0.5035047065254475
microprice_offset_bps,300,2023-06-21,6492,0.508224244413203,0.506226131109865,0.014958830955952563,0.50041025937089
microprice_offset_bps,300,2023-06-22,6212,0.5103285087508722,0.5128941810917669,0.020643742711208935,0.5064601033023558
microprice_offset_bps,300,2023-06-23,5847,0.49958600162580635,0.5093517587022254,0.031749573006892275,0.49919040386568675
